,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
106,2013,Aron Baynes,C,16,141,8.8,Spurs,placed on IL (out for season),6,208.28,117.93392,26,Undrafted,3.2,8.9,0,0,0,0,0,0,0,0,0,1,Other
103,2013,Arron Afflalo,SF,64,2307,13,Magic,strained right hamstring (out for season),6,195.58,97.52228,27,2007,4.8,9.933333333,0,0,0,0,0,0,0,0,1,0,Hamstring
126,2013,Austin Rivers,SG,61,1418,5.9,Hornets,placed on IL with fractured right hand (out for season),6,193.04,90.7184,20,2012,4.6,6.566666667,0,0,0,0,0,0,0,0,0,1,Other
63,2012,Avery Bradley,PG,64,1368,11.3,Celtics,placed on IL with left shoulder injury (out for season),5,187.96,81.64656,21,2010,0.7,11.6,0,0,0,0,0,1,0,0,0,0,Shoulder
115,2013,Blake Griffin,PF,80,2598,22.4,Clippers,placed on IL with strained right hamstring (out for season),6,208.28,113.851592,24,2009,25.6,23.6,0,0,0,0,0,0,0,0,1,0,Hamstring
107,2013,Bradley Beal,SG,56,1745,13.6,Wizards,placed on IL with stress injury in right fibula (out for season),6,195.58,93.893544,20,2012,12,13.5,0,0,0,0,0,0,0,0,0,1,Other
221,2015,Brandan Wright,PF,75,1449,20.4,Suns,foot injury / sore left ankle (out for season),8,208.28,95.25432,27,2007,9.6,8.5,0,1,0,0,0,0,0,0,0,0,Foot
192,2015,Brandon Jennings,PG,41,1173,19.7,Pistons,torn left Achilles (out for season),8,185.42,76.657048,25,2009,14.5,8.5,0,0,0,0,0,0,0,1,0,0,Achilles
195,2015,Brandon Knight,PG-SG,63,2035,17.1,Suns,placed on IL with sprained left ankle (out for season),8,190.5,85.728888,23,2011,10.7,8.3,1,0,0,0,0,0,0,0,0,0,Ankle
95,2012,Brandon Rush,SF,65,1717,15.2,Warriors,torn ACL in left knee (out for season),5,198.12,102.0582,26,2008,7.3,2.1,0,0,0,1,0,0,0,0,0,0,Knee
26,2011,Brendan Haywood,C,72,1331,11.7,Mavericks,placed on IL with strained right hip flexor (out for season),4,213.36,119.294696,31,2001,14.95,6.5,0,0,1,0,0,0,0,0,0,0,Hip
82,2012,Brook Lopez,C,5,136,21.9,Nets,placed on IL with sprained right ankle (out for season),5,213.36,120.20188,24,2008,17.3,21.1,1,0,0,0,0,0,0,0,0,0,Ankle
144,2014,Carl Landry,PF,18,233,11.2,Kings,placed on IL with torn medial meniscus in right knee (out for season),7,205.74,112.490816,30,2007,17.1,11.2,0,0,0,1,0,0,0,0,0,0,Knee
160,2015,Carmelo Anthony,SF,40,1428,21.5,Knicks,placed on IL with knee injury (out for season),8,203.2,108.86208,31,2003,22.8,18.9,0,0,0,1,0,0,0,0,0,0,Knee
14,2011,Caron Butler,SF,29,867,14.2,Mavericks,placed on IL with torn patella tendon in right knee (out for season),4,200.66,103.418976,31,2002,22.7,8.7,0,0,0,1,0,0,0,0,0,0,Knee
209,2015,Chandler Parsons,SF,66,2186,16.3,Mavericks,placed on IL with sprained right knee (out for season),8,205.74,102.965384,26,2011,11.5,5.7,0,0,0,1,0,0,0,0,0,0,Knee
72,2012,Channing Frye,PF,64,1669,14.9,Suns,placed on IL with enlarged heart (out for season),5,210.82,111.13004,29,2005,8.7,12.2,0,0,0,0,0,0,0,0,0,1,Other
60,2012,Chauncey Billups,SG,20,607,16.1,Clippers,torn left Achilles tendon (out for season),5,190.5,95.25432,35,1997,19.2,3.7,0,0,0,0,0,0,0,1,0,0,Achilles
34,2011,Chris Kaman,C,32,838,15.7,Clippers,placed on IL with sprained right knee (out for season),4,213.36,120.20188,29,2003,23.2,11.6,0,0,0,1,0,0,0,0,0,0,Knee
263,2016,Chris Paul,PG,74,2420,26.2,Clippers,fractured right hand (out for season),9,182.88,79.3786,31,2005,24.6,23.8,0,0,0,0,0,0,0,0,0,1,Other
46,2011,Chris Quinn,PG,41,292,7.5,Spurs,placed on IL (out for season),4,187.96,79.3786,27,Undrafted,9,0.8,0,0,0,0,0,0,0,0,0,1,Other
225,2015,Cody Zeller,C,62,1487,14.1,Hornets,placed on IL with sore right shoulder (out for season),8,213.36,108.86208,22,2013,7.9,15.2,0,0,0,0,0,1,0,0,0,0,Shoulder
78,2012,Damion James,SF,7,170,6.1,Nets,placed on IL with sore right foot (out for season),5,200.66,102.0582,24,2010,6,2.8,0,1,0,0,0,0,0,0,0,0,Foot
112,2013,Danilo Gallinari,SF,71,2309,16.7,Nuggets,torn ACL in left knee (out for season),6,208.28,102.0582,24,2008,6.1,11.6,0,0,0,1,0,0,0,0,0,0,Knee
73,2012,Danny Granger,SF,62,2062,18.6,Pacers,placed on IL with knee injury / rest (out for season),5,203.2,103.418976,29,2005,18.9,7.133333333,0,0,0,1,0,0,0,0,0,0,Knee
